year,department,county,ft_so_m,ft_so_f,ft_c_m,ft_c_f,pt_so,pt_c,us_so_ft,us_so_pt,us_c_ft,us_c_pt,pop_covered,so_per_1000,num_res_so
2016,Alliance P.D.,Box Butte,12,2,0,7,0,1,2,0,1,0,"8,529",1.6,0
2016,Beatrice P.D.,Gage,18,4,6,7,0,2,0,0,0,0,"11,965",1.8,0
2016,Bellevue P.D.,Sarpy,84,8,5,11,0,4,5,0,0,0,"54,595",1.7,0
2016,Blair P.D.,Washington,16,1,0,2,1,1,0,0,0,0,"7,981",2.1,0
2016,Chadron P.D.,Dawes,14,1,4,2,0,1,0,0,0,1,"5,748",2.6,0
2016,Columbus P.D.,Platte,28,5,3,13,0,1,3,0,0,0,"22,735",1.5,0
2016,Crete P.D.,Saline,9,3,0,1,3,2,0,0,0,0,"7,045",1.7,0
2016,Fremont P.D.,Dodge,34,3,0,5,2,1,2,0,0,0,"26,521",1.4,2
2016,Gering P.D.,Scotts Bluff,15,1,0,2,0,0,2,0,0,0,"8,335",1.9,0
2016,Grand Island P.D.,Hall,78,7,3,14,0,4,2,0,0,0,"51,861",1.6,0
2016,Hastings P.D.,Adams,33,6,1,13,0,4,0,0,0,0,"24,849",1.6,0
2016,Holdrege P.D.,Phelps,9,1,1,5,0,0,0,0,0,0,"5,512",1.8,0
2016,Kearney P.D.,Buffalo,53,3,13,0,0,0,0,0,0,0,"32,885",1.7,0
